Kind,Identifier,Common Facet,Leaf Term
3,3005,"Object, Cosmetic Container, Cosmetic Purse",Cosmetic Purse
3,3006,"Object, Cosmetic Container, Powder Shaker",Powder Shaker
3,3001,"Object, Cosmetic Container, Puff Box",Puff Box
3,3025,"Object, Cosmetic Kit",Cosmetic Kit
3,3012,"Object, Cosmetic, Artificial Fingernail",Artificial Fingernail
3,3008,"Object, Cosmetic, Blush",Blush
3,3013,"Object, Cosmetic, Cosmetic Foundation",Cosmetic Foundation
3,3016,"Object, Cosmetic, Eyebrow Pencil",Eyebrow Pencil
3,3010,"Object, Cosmetic, Eyeliner",Eyeliner
3,3011,"Object, Cosmetic, Eyeshadow",Eyeshadow
3,3009,"Object, Cosmetic, False Eyelash",False Eyelash
3,14984,"Object, Cosmetic, Lip Pencil",Lip Pencil
3,3014,"Object, Cosmetic, Lipstick",Lipstick
3,3015,"Object, Cosmetic, Mascara",Mascara
3,3017,"Object, Cosmetic, Nail Polish",Nail Polish
3,8366,"Object, Cosmolabe",Cosmolabe
3,4149,"Object, Cotton Candy Machine",Cotton Candy Machine
3,6969,"Object, Cotton Gin",Cotton Gin
3,13814,"Object, Coupon",Coupon
3,13815,"Object, Coupon, Coupon Book",Coupon Book
3,13816,"Object, Coupon, Ration Coupon",Ration Coupon
3,13817,"Object, Coupon, Ration Coupon, Ration Book",Ration Book
3,10118,"Object, Course Corrector",Course Corrector
3,3752,"Object, Cow Lift",Cow Lift
3,4987,"Object, Cozy",Cozy
3,4988,"Object, Cozy, Tea Cozy",Tea Cozy
3,14824,"Object, Craft Toy",Craft Toy
3,14828,"Object, Craft Toy, Arts and Crafts Set",Arts and Crafts Set
3,14829,"Object, Craft Toy, Arts and Crafts Set, Pyrography Set",Pyrography Set
3,14825,"Object, Craft Toy, Craft Paper",Craft Paper
3,14826,"Object, Craft Toy, Craft Paper, Construction Paper",Construction Paper
3,14827,"Object, Craft Toy, Craft Paper, Origami Paper",Origami Paper
3,14830,"Object, Craft Toy, Pegboard Toy",Pegboard Toy
3,5503,"Object, Creaser",Creaser
3,5504,"Object, Creaser, Double Creaser",Double Creaser
3,5505,"Object, Creaser, Edge Creaser",Edge Creaser
3,5506,"Object, Creaser, Screw Creaser",Screw Creaser
3,5507,"Object, Creaser, Single Creaser",Single Creaser
3,13179,"Object, Credence",Credence
3,14831,"Object, Crib Toy",Crib Toy
3,6365,"Object, Cribbing Crib",Cribbing Crib
3,14530,"Object, Cricket Gear",Cricket Gear
3,14531,"Object, Cricket Gear, Cricket Ball",Cricket Ball
3,14532,"Object, Cricket Gear, Cricket Bat",Cricket Bat
3,14534,"Object, Cricket Gear, Cricket Helmet",Cricket Helmet
3,14533,"Object, Cricket Gear, Wicket Keeping Glove",Wicket Keeping Glove
3,6976,"Object, Crochet Hook",Crochet Hook
3,10189,"Object, Cross-Staff",Cross-Staff
3,10190,"Object, Cross-Staff, Groma",Groma
3,11805,"Object, Crotal Bell",Crotal Bell
3,11806,"Object, Crotal Bell, Sleigh Bell",Sleigh Bell
3,2742,"Object, Crutch",Crutch
3,13096,"Object, Crystal Ball",Crystal Ball
3,4157,"Object, Culinary Measure",Culinary Measure
3,4158,"Object, Culinary Measure, Measuring Cup",Measuring Cup
3,4159,"Object, Culinary Measure, Measuring Glass",Measuring Glass
3,4160,"Object, Culinary Measure, Measuring Jigger",Measuring Jigger
3,4161,"Object, Culinary Measure, Measuring Pitcher",Measuring Pitcher
3,4162,"Object, Culinary Measure, Measuring Spoon",Measuring Spoon
3,4174,"Object, Culinary Press",Culinary Press
3,4175,"Object, Culinary Press, Candy Press",Candy Press
3,4176,"Object, Culinary Press, Cookie Press",Cookie Press
3,4177,"Object, Culinary Press, Garlic Press",Garlic Press
3,4178,"Object, Culinary Press, Oil Press",Oil Press
3,4179,"Object, Culinary Press, Ravioli Press",Ravioli Press
3,4182,"Object, Culinary Press, Ricer",Ricer
3,4180,"Object, Culinary Press, Tortilla Press",Tortilla Press
3,4181,"Object, Culinary Press, Wafer Press",Wafer Press
3,4227,"Object, Culinary Thermometer",Culinary Thermometer
3,4228,"Object, Culinary Thermometer, Candy Thermometer",Candy Thermometer
3,4229,"Object, Culinary Thermometer, Deep Frying Thermometer",Deep Frying Thermometer
3,4230,"Object, Culinary Thermometer, Meat Thermometer",Meat Thermometer
3,4231,"Object, Culinary Thermometer, Oven Thermometer",Oven Thermometer
3,4771,"Object, Cup",Cup
3,5042,"Object, Cup and Saucer Set",Cup and Saucer Set
3,4772,"Object, Cup, Cann",Cann
3,4774,"Object, Cup, Canteen Cup",Canteen Cup
3,4775,"Object, Cup, Caudle Cup",Caudle Cup
3,4773,"Object, Cup, Charka",Charka
3,4776,"Object, Cup, Chocolate Cup",Chocolate Cup
3,4777,"Object, Cup, Coffee Cup",Coffee Cup
3,4778,"Object, Cup, Coffee Cup, Demitasse Cup",Demitasse Cup
3,4779,"Object, Cup, Collapsible Cup",Collapsible Cup
3,4780,"Object, Cup, Covered Cup",Covered Cup
3,4781,"Object, Cup, Disposable Cup",Disposable Cup
3,4782,"Object, Cup, Dram Cup",Dram Cup
3,4783,"Object, Cup, Fuddling Cup",Fuddling Cup
3,4784,"Object, Cup, Invalid Cup",Invalid Cup
3,4785,"Object, Cup, Mustache Cup",Mustache Cup
3,4786,"Object, Cup, Nursing Cup",Nursing Cup
3,4787,"Object, Cup, Punch Cup",Punch Cup
3,4788,"Object, Cup, Saki Cup",Saki Cup
3,4789,"Object, Cup, Spout Cup",Spout Cup
3,4790,"Object, Cup, Standing Cup",Standing Cup
3,4791,"Object, Cup, Straw Cup",Straw Cup
3,4795,"Object, Cup, Tazza",Tazza
3,4796,"Object, Cup, Teacup",Teacup
3,4792,"Object, Cup, Traveling Cup",Traveling Cup
3,4793,"Object, Cup, Wine Cup",Wine Cup
3,4794,"Object, Cup, Wine Taster",Wine Taster
3,324,"Object, Cupola",Cupola
3,14535,"Object, Curling Gear",Curling Gear
3,14536,"Object, Curling Gear, Curling Broom",Curling Broom
3,14537,"Object, Curling Gear, Curling Stone",Curling Stone
3,3066,"Object, Curling Iron Heater",Curling Iron Heater
3,5483,"Object, Currier's Beam",Currier's Beam
3,6431,"Object, Cutting Machine",Cutting Machine
3,6516,"Object, Cyanidation Vat",Cyanidation Vat
3,8367,"Object, Cyanometer",Cyanometer
3,14538,"Object, Cycling Gear",Cycling Gear
3,14539,"Object, Cycling Gear, Cycling Helmet",Cycling Helmet
3,4515,"Object, Dairy Tool",Dairy Tool
3,4537,"Object, Dairy Tool, Butter Fork",Butter Fork
3,4544,"Object, Dairy Tool, Butter Packer",Butter Packer
3,4545,"Object, Dairy Tool, Butter Paddle",Butter Paddle
3,4558,"Object, Dairy Tool, Butter Scoop",Butter Scoop
3,4583,"Object, Dairy Tool, Butter Trier",Butter Trier
3,4584,"Object, Dairy Tool, Butter Tub",Butter Tub
3,4590,"Object, Dairy Tool, Butter Worker",Butter Worker
3,4517,"Object, Dairy Tool, Butter-Working Bowl",Butter-Working Bowl
3,4523,"Object, Dairy Tool, Cheese Carrier",Cheese Carrier
3,4543,"Object, Dairy Tool, Cheese Mold",Cheese Mold
3,4550,"Object, Dairy Tool, Cheese Press",Cheese Press
3,4554,"Object, Dairy Tool, Cheese Saw",Cheese Saw
3,4569,"Object, Dairy Tool, Cheese Tester",Cheese Tester
3,4570,"Object, Dairy Tool, Cheese Tester, Acidity Tester",Acidity Tester
3,4571,"Object, Dairy Tool, Cheese Tester, Cheese Trier",Cheese Trier
3,4586,"Object, Dairy Tool, Cheese Vat",Cheese Vat
3,4525,"Object, Dairy Tool, Cheesecloth",Cheesecloth
3,4526,"Object, Dairy Tool, Churn",Churn
3,4535,"Object, Dairy Tool, Churn Dasher",Churn Dasher
3,4564,"Object, Dairy Tool, Churn Stand",Churn Stand
3,4560,"Object, Dairy Tool, Cream Separator",Cream Separator
3,4562,"Object, Dairy Tool, Cream Skimmer",Cream Skimmer
3,4531,"Object, Dairy Tool, Curd Cutter",Curd Cutter
3,4532,"Object, Dairy Tool, Curd Cutter, Cheese Knife",Cheese Knife
3,4533,"Object, Dairy Tool, Curd Cutter, Curd Knife",Curd Knife
3,4534,"Object, Dairy Tool, Curd Cutter, Curd Mill",Curd Mill
3,4538,"Object, Dairy Tool, Curd Fork",Curd Fork
3,4552,"Object, Dairy Tool, Curd Rake",Curd Rake
3,4559,"Object, Dairy Tool, Curd Scoop",Curd Scoop
3,4561,"Object, Dairy Tool, Curd Sink",Curd Sink
3,4563,"Object, Dairy Tool, Curd Squeezer",Curd Squeezer
3,4565,"Object, Dairy Tool, Curd Stirrer",Curd Stirrer
3,4589,"Object, Dairy Tool, Curd Whip",Curd Whip
3,4519,"Object, Dairy Tool, Dairy Can",Dairy Can
3,4520,"Object, Dairy Tool, Dairy Can, Cream Can",Cream Can
3,4521,"Object, Dairy Tool, Dairy Can, Milk Can",Milk Can
3,4522,"Object, Dairy Tool, Dairy Can, Settling Can",Settling Can
3,4528,"Object, Dairy Tool, Dairy Cooler",Dairy Cooler
3,4530,"Object, Dairy Tool, Dairy Cooler, Cooling Tank",Cooling Tank
3,4529,"Object, Dairy Tool, Dairy Cooler, Milk Cooler",Milk Cooler
3,4555,"Object, Dairy Tool, Dairy Scale",Dairy Scale
3,4556,"Object, Dairy Tool, Dairy Scale, Butter Scale",Butter Scale
3,4557,"Object, Dairy Tool, Dairy Scale, Milk Scale",Milk Scale
3,4516,"Object, Dairy Tool, Milk Aerator",Milk Aerator
3,4524,"Object, Dairy Tool, Milk Bottle Carrier",Milk Bottle Carrier
3,4587,"Object, Dairy Tool, Milk Bottle Washer",Milk Bottle Washer
3,4588,"Object, Dairy Tool, Milk Can Washer",Milk Can Washer
3,4527,"Object, Dairy Tool, Milk Condenser",Milk Condenser
3,4536,"Object, Dairy Tool, Milk Evaporator",Milk Evaporator
3,4539,"Object, Dairy Tool, Milk Heater",Milk Heater
3,4540,"Object, Dairy Tool, Milk Homogenizer",Milk Homogenizer
3,4548,"Object, Dairy Tool, Milk Pan",Milk Pan
3,4549,"Object, Dairy Tool, Milk Pasteurizer",Milk Pasteurizer
3,4551,"Object, Dairy Tool, Milk Pump",Milk Pump
3,4553,"Object, Dairy Tool, Milk Sampler",Milk Sampler
3,4566,"Object, Dairy Tool, Milk Stirrer",Milk Stirrer
3,4567,"Object, Dairy Tool, Milk Strainer",Milk Strainer
3,4572,"Object, Dairy Tool, Milk Tester",Milk Tester
3,4579,"Object, Dairy Tool, Milk Tester, Babcock Tester",Babcock Tester
3,4573,"Object, Dairy Tool, Milk Tester, Butyrometer",Butyrometer
3,4574,"Object, Dairy Tool, Milk Tester, Galactometer",Galactometer
3,4575,"Object, Dairy Tool, Milk Tester, Lactobutyrometer",Lactobutyrometer
3,4576,"Object, Dairy Tool, Milk Tester, Lactometer",Lactometer
3,4580,"Object, Dairy Tool, Milk Tester, Milk Sediment Tester",Milk Sediment Tester
3,4581,"Object, Dairy Tool, Milk Tester, Milk Thermometer",Milk Thermometer
3,4577,"Object, Dairy Tool, Milk Tester, Milkometer",Milkometer
3,4578,"Object, Dairy Tool, Milk Tester, Pioscope",Pioscope
3,4585,"Object, Dairy Tool, Milk Tube",Milk Tube
3,4541,"Object, Dairy Tool, Milking Machine",Milking Machine
3,4542,"Object, Dairy Tool, Milking Machine, Surge Milker",Surge Milker
3,4546,"Object, Dairy Tool, Milking Pail",Milking Pail
3,4547,"Object, Dairy Tool, Milking Pail, Milking Piggin",Milking Piggin
3,4582,"Object, Dairy Tool, Overrun Tester",Overrun Tester
3,4518,"Object, Dairy Tool, Skimming Bowl",Skimming Bowl
3,4568,"Object, Dairy Tool, Whey Strainer",Whey Strainer
3,13212,"Object, Dance Staff",Dance Staff
3,6762,"Object, Darning Board",Darning Board
3,6808,"Object, Darning Egg",Darning Egg
3,10433,"Object, Data Processing, Abacus",Abacus
3,10395,"Object, Data Processing, Acoustic Coupler",Acoustic Coupler
3,10442,"Object, Data Processing, Adding Machine",Adding Machine
3,10435,"Object, Data Processing, Analog Computer",Analog Computer
3,10432,"Object, Data Processing, Analog Data Processor",Analog Data Processor
3,10532,"Object, Data Processing, Audio Response Unit",Audio Response Unit
3,10420,"Object, Data Processing, Automaton",Automaton
3,10508,"Object, Data Processing, Barcode Scanner",Barcode Scanner
3,10443,"Object, Data Processing, Billing Machine",Billing Machine
3,10444,"Object, Data Processing, Bookkeeping Machine",Bookkeeping Machine
3,10403,"Object, Data Processing, Browser Software",Browser Software
3,10381,"Object, Data Processing, Burster",Burster
3,10541,"Object, Data Processing, CRT Terminal",CRT Terminal
3,10440,"Object, Data Processing, Calculating Machine",Calculating Machine
3,10447,"Object, Data Processing, Calculating Rod",Calculating Rod
3,10450,"Object, Data Processing, Calculator",Calculator
3,10539,"Object, Data Processing, Card Processor",Card Processor
3,10502,"Object, Data Processing, Card Reader",Card Reader
3,10469,"Object, Data Processing, Card Reproducer",Card Reproducer
3,10416,"Object, Data Processing, Card Sorter",Card Sorter
3,10423,"Object, Data Processing, Card-to-Tape Converter",Card-to-Tape Converter
3,10387,"Object, Data Processing, Chad",Chad
3,10522,"Object, Data Processing, Character Impact Printer",Character Impact Printer
3,10503,"Object, Data Processing, Character Reader",Character Reader
3,10487,"Object, Data Processing, Compact Disc",Compact Disc
3,10383,"Object, Data Processing, Compact Disc Case",Compact Disc Case
3,10434,"Object, Data Processing, Comparator",Comparator
3,10494,"Object, Data Processing, Computer Console",Computer Console
3,10382,"Object, Data Processing, Computer Equipment Case",Computer Equipment Case
3,10498,"Object, Data Processing, Computer Keyboard",Computer Keyboard
3,10519,"Object, Data Processing, Computer Monitor",Computer Monitor
3,10540,"Object, Data Processing, Computer Terminal",Computer Terminal
3,10523,"Object, Data Processing, Daisywheel Printer",Daisywheel Printer
3,10389,"Object, Data Processing, Data Cable",Data Cable
3,10481,"Object, Data Processing, Data Card",Data Card
3,10388,"Object, Data Processing, Data Connector",Data Connector
3,10422,"Object, Data Processing, Data Converter",Data Converter
3,10533,"Object, Data Processing, Data Drive",Data Drive
3,10518,"Object, Data Processing, Data Glasses",Data Glasses
3,10496,"Object, Data Processing, Data Glove",Data Glove
3,10397,"Object, Data Processing, Data Patch Panel",Data Patch Panel
3,10380,"Object, Data Processing, Data Processing Accessories",Data Processing Accessories
3,10418,"Object, Data Processing, Data Processing Devices",Data Processing Devices
3,10480,"Object, Data Processing, Data Processing Media",Data Processing Media
3,10462,"Object, Data Processing, Data Punch",Data Punch
3,10468,"Object, Data Processing, Data Reproducer",Data Reproducer
3,10398,"Object, Data Processing, Data Router",Data Router
3,10404,"Object, Data Processing, Database Software",Database Software
3,10425,"Object, Data Processing, Decoder",Decoder
3,10451,"Object, Data Processing, Desktop Calculator",Desktop Calculator
3,10454,"Object, Data Processing, Desktop Computer",Desktop Computer
3,10405,"Object, Data Processing, Diagnostic Software",Diagnostic Software
3,10441,"Object, Data Processing, Difference Engine",Difference Engine
3,10436,"Object, Data Processing, Differential Analyzer",Differential Analyzer
3,10453,"Object, Data Processing, Digital Computer",Digital Computer
3,10449,"Object, Data Processing, Digital Data Processor",Digital Data Processor
3,10488,"Object, Data Processing, Digital Videodisc",Digital Videodisc
3,10384,"Object, Data Processing, Digital Videodisc Case",Digital Videodisc Case
3,10424,"Object, Data Processing, Digital-to-Analog Converter",Digital-to-Analog Converter
3,10426,"Object, Data Processing, Digitizer",Digitizer
3,10534,"Object, Data Processing, Disk Drive",Disk Drive
3,10401,"Object, Data Processing, Disk Sleeve",Disk Sleeve
3,10485,"Object, Data Processing, Diskette",Diskette
3,10385,"Object, Data Processing, Diskette Case",Diskette Case
3,10524,"Object, Data Processing, Dot Matrix Printer",Dot Matrix Printer
3,10482,"Object, Data Processing, Edge-Notched Card",Edge-Notched Card
3,10406,"Object, Data Processing, Email Software",Email Software
3,10427,"Object, Data Processing, Encoder",Encoder
3,10474,"Object, Data Processing, Encoding Typewriter",Encoding Typewriter
3,10531,"Object, Data Processing, Film Recorder",Film Recorder
3,10489,"Object, Data Processing, Flash Drive",Flash Drive
3,10509,"Object, Data Processing, Flatbed Scanner",Flatbed Scanner
3,10407,"Object, Data Processing, Gaming Software",Gaming Software
3,10463,"Object, Data Processing, Gang Punch",Gang Punch
3,10408,"Object, Data Processing, Graphics Software",Graphics Software
3,10511,"Object, Data Processing, Graphics Tablet",Graphics Tablet
3,10455,"Object, Data Processing, Handheld Computer",Handheld Computer
3,10510,"Object, Data Processing, Handheld Scanner",Handheld Scanner
3,10535,"Object, Data Processing, Hard Drive",Hard Drive
3,10437,"Object, Data Processing, Harmonic Analyzer",Harmonic Analyzer
3,10515,"Object, Data Processing, Head Tracker",Head Tracker
3,10517,"Object, Data Processing, Head-Mounted Display",Head-Mounted Display
3,10421,"Object, Data Processing, Hybrid Computer",Hybrid Computer
3,10472,"Object, Data Processing, Industrial Robot",Industrial Robot
3,10525,"Object, Data Processing, Inkjet Printer",Inkjet Printer
3,10495,"Object, Data Processing, Input Device",Input Device
3,10438,"Object, Data Processing, Integrator",Integrator
3,10497,"Object, Data Processing, Joystick",Joystick
3,10538,"Object, Data Processing, Keyboard Printer",Keyboard Printer
3,10464,"Object, Data Processing, Keyboard Punch",Keyboard Punch
3,10417,"Object, Data Processing, Keyboard Template",Keyboard Template
3,10456,"Object, Data Processing, Laptop Computer",Laptop Computer
3,10386,"Object, Data Processing, Laptop Computer Case",Laptop Computer Case
3,10526,"Object, Data Processing, Laser Printer",Laser Printer
3,10500,"Object, Data Processing, Light Pen",Light Pen
3,10527,"Object, Data Processing, Line Printer",Line Printer
3,10475,"Object, Data Processing, Magnetic Card Typewriter",Magnetic Card Typewriter
3,10484,"Object, Data Processing, Magnetic Disk",Magnetic Disk
3,10476,"Object, Data Processing, Magnetic Disk Typewriter",Magnetic Disk Typewriter
3,10490,"Object, Data Processing, Magnetic Drum",Magnetic Drum
3,10491,"Object, Data Processing, Magnetic Tape",Magnetic Tape
3,10504,"Object, Data Processing, Magnetic Tape Reader",Magnetic Tape Reader
3,10542,"Object, Data Processing, Magnetic Tape Terminal",Magnetic Tape Terminal
3,10477,"Object, Data Processing, Magnetic Tape Typewriter",Magnetic Tape Typewriter
3,10457,"Object, Data Processing, Mainframe Computer",Mainframe Computer
3,10459,"Object, Data Processing, Minicomputer",Minicomputer
3,10537,"Object, Data Processing, Modem",Modem
3,10499,"Object, Data Processing, Mouse",Mouse
3,10399,"Object, Data Processing, Mouse Pad",Mouse Pad
3,10409,"Object, Data Processing, Multifunction Software",Multifunction Software
3,10396,"Object, Data Processing, Multiplexer",Multiplexer
3,10419,"Object, Data Processing, Network Analyzer",Network Analyzer
3,10390,"Object, Data Processing, Network Cable",Network Cable
3,10460,"Object, Data Processing, Network Server",Network Server
3,10446,"Object, Data Processing, Nomogram",Nomogram
3,10528,"Object, Data Processing, On-the-Fly Printer",On-the-Fly Printer
3,10410,"Object, Data Processing, Operating System Software",Operating System Software
3,10486,"Object, Data Processing, Optical Disk",Optical Disk
3,10506,"Object, Data Processing, Optical Scanner",Optical Scanner
3,10507,"Object, Data Processing, Orthoscanner",Orthoscanner
3,10516,"Object, Data Processing, Output Device",Output Device
3,10492,"Object, Data Processing, Paper Tape",Paper Tape
3,10478,"Object, Data Processing, Paper Tape Typewriter",Paper Tape Typewriter
3,10391,"Object, Data Processing, Parallel Cable",Parallel Cable
3,10544,"Object, Data Processing, Peripheral Control Unit",Peripheral Control Unit
3,10493,"Object, Data Processing, Peripherals",Peripherals
3,10400,"Object, Data Processing, Pinboard",Pinboard
3,10439,"Object, Data Processing, Planimeter",Planimeter
3,10520,"Object, Data Processing, Plotter",Plotter
3,10452,"Object, Data Processing, Pocket Calculator",Pocket Calculator
3,10392,"Object, Data Processing, Power Cable",Power Cable
3,10521,"Object, Data Processing, Printer",Printer
3,10483,"Object, Data Processing, Punched Card",Punched Card
3,10505,"Object, Data Processing, Punched Tape Reader",Punched Tape Reader
3,10501,"Object, Data Processing, Reader",Reader
3,10471,"Object, Data Processing, Robot",Robot
3,10411,"Object, Data Processing, Security Software",Security Software
3,10393,"Object, Data Processing, Serial Cable",Serial Cable
3,10529,"Object, Data Processing, Serial Printer",Serial Printer
3,10473,"Object, Data Processing, Simulator",Simulator
3,10448,"Object, Data Processing, Slide Rule",Slide Rule
3,10461,"Object, Data Processing, Smartphone",Smartphone
3,10402,"Object, Data Processing, Software",Software
3,10412,"Object, Data Processing, Specialty Software",Specialty Software
3,10465,"Object, Data Processing, Spot Punch",Spot Punch
3,10413,"Object, Data Processing, Spreadsheet Software",Spreadsheet Software
3,10466,"Object, Data Processing, Summary Punch",Summary Punch
3,10458,"Object, Data Processing, Tablet Computer",Tablet Computer
3,10445,"Object, Data Processing, Tabulating Machine",Tabulating Machine
3,10428,"Object, Data Processing, Tally Counter",Tally Counter
3,10429,"Object, Data Processing, Tally Stick",Tally Stick
3,10536,"Object, Data Processing, Tape Drive",Tape Drive
3,10467,"Object, Data Processing, Tape Reader",Tape Reader
3,10470,"Object, Data Processing, Tape Reproducer",Tape Reproducer
3,10431,"Object, Data Processing, Teaching Machine",Teaching Machine
3,10430,"Object, Data Processing, Test Scoring Device",Test Scoring Device
3,10530,"Object, Data Processing, Thermal Printer",Thermal Printer
3,10512,"Object, Data Processing, Touchpad",Touchpad
3,10513,"Object, Data Processing, Touchscreen",Touchscreen
3,10514,"Object, Data Processing, Trackball",Trackball
3,10543,"Object, Data Processing, Typewriter Terminal",Typewriter Terminal
3,10394,"Object, Data Processing, USB Cable",USB Cable
3,10414,"Object, Data Processing, Utility Software",Utility Software
3,10479,"Object, Data Processing, Verifier",Verifier
3,10415,"Object, Data Processing, Word Processing Software",Word Processing Software
3,3739,"Object, Debeaker",Debeaker
3,5005,"Object, Decanter Label",Decanter Label
3,5043,"Object, Decanter Set",Decanter Set
3,12,"Object, Deck",Deck
3,14971,"Object, Decontamination Kit",Decontamination Kit
3,6517,"Object, Deflection Wedge",Deflection Wedge
3,3740,"Object, Dehorner",Dehorner
3,3741,"Object, Dehorner, Dehorning Knife",Dehorning Knife
3,3742,"Object, Dehorner, Dehorning Saw",Dehorning Saw
3,197,"Object, Dehumidifier",Dehumidifier
3,3747,"Object, Dental Float",Dental Float
3,3757,"Object, Dental Shears",Dental Shears
3,10126,"Object, Depth Finder",Depth Finder
3,10131,"Object, Depth Gauge",Depth Gauge
3,11279,"Object, Descrambler",Descrambler
3,5037,"Object, Dessert Service",Dessert Service
3,6409,"Object, Detonating Fuse",Detonating Fuse
3,6379,"Object, Detonator",Detonator
3,14832,"Object, Dexterity Toy",Dexterity Toy
3,14833,"Object, Dexterity Toy, Cup and Ball Toy",Cup and Ball Toy
3,11178,"Object, Dictating Machine Shaver",Dictating Machine Shaver
3,11259,"Object, Dictation Belt",Dictation Belt
3,13822,"Object, Digital Exchange Medium",Digital Exchange Medium
3,11416,"Object, Digital Videodisc Player",Digital Videodisc Player
3,2770,"Object, Dildo",Dildo
3,8368,"Object, Dipleidoscope",Dipleidoscope
3,6439,"Object, Dipping Needle",Dipping Needle
3,10334,"Object, Dipstick",Dipstick
3,10127,"Object, Direction Finder",Direction Finder
3,10128,"Object, Direction Finder, Radio Direction Finder",Radio Direction Finder
3,4989,"Object, Dish Cross",Dish Cross
3,5170,"Object, Dish Lid",Dish Lid
3,5020,"Object, Dish Ring",Dish Ring
3,276,"Object, Disposer",Disposer
3,6949,"Object, Distaff",Distaff
3,10129,"Object, Distance Finder",Distance Finder
3,13204,"Object, Divination Object",Divination Object
3,6456,"Object, Divining Rod",Divining Rod
3,5356,"Object, Dod",Dod
3,485,"Object, Doghouse",Doghouse
3,14747,"Object, Doll",Doll
3,14711,"Object, Doll Accessory",Doll Accessory
3,14712,"Object, Doll Accessory, Doll Carriage",Doll Carriage
3,14713,"Object, Doll Accessory, Doll Chest",Doll Chest
3,14714,"Object, Doll Accessory, Doll Clothing",Doll Clothing
3,14715,"Object, Doll Accessory, Doll Cradle",Doll Cradle
3,14716,"Object, Doll Accessory, Doll Furniture",Doll Furniture
3,14717,"Object, Doll Accessory, Doll Stand",Doll Stand
3,14718,"Object, Doll Accessory, Doll Stroller",Doll Stroller
3,14719,"Object, Doll Accessory, Doll Trunk",Doll Trunk
3,14751,"Object, Doll, Doll Head",Doll Head
3,14748,"Object, Doll, Mechanical Doll",Mechanical Doll
3,14749,"Object, Doll, Nesting Doll",Nesting Doll
3,14750,"Object, Doll, Paper Doll",Paper Doll
3,14752,"Object, Dollhouse",Dollhouse
3,14766,"Object, Dollhouse Furnishing",Dollhouse Furnishing
3,105,"Object, Door & Window Elements",Door & Window Elements
3,107,"Object, Door Element",Door Element
3,108,"Object, Door Element, Door",Door
3,126,"Object, Door Element, Door Enframement",Door Enframement
3,127,"Object, Door Element, Door Jamb",Door Jamb
3,130,"Object, Door Element, Door Sweep",Door Sweep
3,132,"Object, Door Element, Door Track",Door Track
3,133,"Object, Door Element, Door Weight",Door Weight
3,109,"Object, Door Element, Door, Accordion Door",Accordion Door
3,110,"Object, Door Element, Door, Dutch Door",Dutch Door
3,111,"Object, Door Element, Door, French Door",French Door
3,112,"Object, Door Element, Door, Garage Door",Garage Door
3,113,"Object, Door Element, Door, Louver Door",Louver Door
3,114,"Object, Door Element, Door, Pet Door",Pet Door
3,115,"Object, Door Element, Door, Revolving Door",Revolving Door
3,116,"Object, Door Element, Door, Screen Door",Screen Door
3,117,"Object, Door Element, Door, Sliding Door",Sliding Door
3,118,"Object, Door Element, Door, Storm Door",Storm Door
3,119,"Object, Door Element, Doorbell",Doorbell
3,120,"Object, Door Element, Doorbell, Door Chime",Door Chime
3,121,"Object, Door Element, Doorcap",Doorcap
3,122,"Object, Door Element, Doorcase",Doorcase
3,123,"Object, Door Element, Doorframe",Doorframe
3,124,"Object, Door Element, Doorsill",Doorsill
3,125,"Object, Door Element, Doorstone",Doorstone
3,128,"Object, Door Element, Garage Door Opener",Garage Door Opener
3,129,"Object, Door Element, Portcullis",Portcullis
3,131,"Object, Door Element, Threshold",Threshold
3,243,"Object, Door Hardware",Door Hardware
3,246,"Object, Door Hardware, Door Bumper",Door Bumper
3,247,"Object, Door Hardware, Door Check",Door Check
3,254,"Object, Door Hardware, Door Handle",Door Handle
3,256,"Object, Door Hardware, Door Ring",Door Ring
3,248,"Object, Door Hardware, Doorknob",Doorknob
3,249,"Object, Door Hardware, Doorplate",Doorplate
3,251,"Object, Door Hardware, Doorplate, Jamb Plate",Jamb Plate
3,250,"Object, Door Hardware, Doorplate, Kickplate",Kickplate
3,252,"Object, Door Hardware, Doorplate, Pushplate",Pushplate
3,253,"Object, Door Hardware, Doorplate, Rosette",Rosette
3,255,"Object, Door Hardware, Knocker",Knocker
3,244,"Object, Door Hardware, Pull Bar",Pull Bar
3,245,"Object, Door Hardware, Push Bar",Push Bar
3,325,"Object, Dormer",Dormer
3,3760,"Object, Dose Syringe",Dose Syringe
3,277,"Object, Downspout",Downspout
3,10549,"Object, Drafting Instrument",Drafting Instrument
3,10548,"Object, Drafting Instrument Case",Drafting Instrument Case
3,10590,"Object, Drafting Instrument, Architect's Scale",Architect's Scale
3,10550,"Object, Drafting Instrument, Arcograph",Arcograph
3,10551,"Object, Drafting Instrument, Campylometer",Campylometer
3,10552,"Object, Drafting Instrument, Centrolinead",Centrolinead
3,10553,"Object, Drafting Instrument, Chartometer",Chartometer
3,10562,"Object, Drafting Instrument, Conograph",Conograph
3,10563,"Object, Drafting Instrument, Curve",Curve
3,10564,"Object, Drafting Instrument, Curve, Brook's Curve",Brook's Curve
3,10565,"Object, Drafting Instrument, Curve, Flexible Curve",Flexible Curve
3,10566,"Object, Drafting Instrument, Curve, French Curve",French Curve
3,10567,"Object, Drafting Instrument, Cycloidograph",Cycloidograph
